roulette_size,generator,number,repeats,correlation,counts
2,nativeRandom,,50187,0.0038,
2,nativeRandom,1,,,49852
2,nativeRandom,2,,,50148
2,lcg,,50129,0.0020,
2,lcg,1,,,51213
2,lcg,2,,,48787
2,xorshift,,50203,0.0040,
2,xorshift,1,,,49662
2,xorshift,2,,,50338
2,mulberry32,,50251,0.0050,
2,mulberry32,1,,,49970
2,mulberry32,2,,,50030
3,nativeRandom,,33254,-0.0035,
3,nativeRandom,1,,,33511
3,nativeRandom,2,,,33281
3,nativeRandom,3,,,33208
3,lcg,,32946,-0.0105,
3,lcg,1,,,33991
3,lcg,2,,,33095
3,lcg,3,,,32914
3,xorshift,,33659,0.0051,
3,xorshift,1,,,33416
3,xorshift,2,,,33213
3,xorshift,3,,,33371
3,mulberry32,,33217,0.0008,
3,mulberry32,1,,,33320
3,mulberry32,2,,,33375
3,mulberry32,3,,,33305
4,nativeRandom,,25044,0.0002,
4,nativeRandom,1,,,24906
4,nativeRandom,2,,,25108
4,nativeRandom,3,,,25100
4,nativeRandom,4,,,24886
4,lcg,,24965,-0.0036,
4,lcg,1,,,25832
4,lcg,2,,,25409
4,lcg,3,,,24012
4,lcg,4,,,24747
4,xorshift,,25053,0.0022,
4,xorshift,1,,,25084
4,xorshift,2,,,25067
4,xorshift,3,,,24963
4,xorshift,4,,,24886
4,mulberry32,,24795,-0.0014,
4,mulberry32,1,,,24904
4,mulberry32,2,,,24972
4,mulberry32,3,,,25158
4,mulberry32,4,,,24966
5,nativeRandom,,20091,0.0048,
5,nativeRandom,1,,,19787
5,nativeRandom,2,,,20028
5,nativeRandom,3,,,20054
5,nativeRandom,4,,,19926
5,nativeRandom,5,,,20205
5,lcg,,20040,-0.0099,
5,lcg,1,,,20417
5,lcg,2,,,20355
5,lcg,3,,,20175
5,lcg,4,,,19123
5,lcg,5,,,19930
5,xorshift,,19997,-0.0005,
5,xorshift,1,,,20053
5,xorshift,2,,,20069
5,xorshift,3,,,20065
5,xorshift,4,,,19951
5,xorshift,5,,,19862
5,mulberry32,,20052,-0.0034,
5,mulberry32,1,,,19969
5,mulberry32,2,,,20098
5,mulberry32,3,,,19978
5,mulberry32,4,,,20076
5,mulberry32,5,,,19879
6,nativeRandom,,16688,-0.0017,
6,nativeRandom,1,,,16661
6,nativeRandom,2,,,16851
6,nativeRandom,3,,,16787
6,nativeRandom,4,,,16539
6,nativeRandom,5,,,16459
6,nativeRandom,6,,,16703
6,lcg,,16381,-0.0128,
6,lcg,1,,,17121
6,lcg,2,,,16886
6,lcg,3,,,17218
6,lcg,4,,,15888
6,lcg,5,,,16390
6,lcg,6,,,16497
6,xorshift,,16730,-0.0008,
6,xorshift,1,,,16679
6,xorshift,2,,,16811
6,xorshift,3,,,16618
6,xorshift,4,,,16532
6,xorshift,5,,,16667
6,xorshift,6,,,16693
6,mulberry32,,16628,-0.0047,
6,mulberry32,1,,,16807
6,mulberry32,2,,,16504
6,mulberry32,3,,,16600
6,mulberry32,4,,,16681
6,mulberry32,5,,,16677
6,mulberry32,6,,,16731
7,nativeRandom,,14374,0.0027,
7,nativeRandom,1,,,14411
7,nativeRandom,2,,,14243
7,nativeRandom,3,,,14278
7,nativeRandom,4,,,14381
7,nativeRandom,5,,,14214
7,nativeRandom,6,,,14203
7,nativeRandom,7,,,14270
7,lcg,,14202,-0.0118,
7,lcg,1,,,14632
7,lcg,2,,,14609
7,lcg,3,,,14315
7,lcg,4,,,14354
7,lcg,5,,,13873
7,lcg,6,,,14097
7,lcg,7,,,14120
7,xorshift,,14226,-0.0004,
7,xorshift,1,,,14309
7,xorshift,2,,,14212
7,xorshift,3,,,14315
7,xorshift,4,,,14272
7,xorshift,5,,,14290
7,xorshift,6,,,14348
7,xorshift,7,,,14254
7,mulberry32,,14346,0.0000,
7,mulberry32,1,,,14431
7,mulberry32,2,,,14199
7,mulberry32,3,,,14274
